Nom;Prenom;MailPerso;MailPro;InterneOuExterne;Ville;CodeINSEE;IdHALL
Ramsey;Astra;astra@yahoo.com;astra-ramsey7475@univsmb.fr;True;Vichy;11970043310373;hal-02140835
Nicholson;Nina;nina@yahoo.fr;nnicholson1561@univsmb.fr;True;Sotteville les Rouen;120010376681581;hal-74086933
Vaughan;Vladimir;vladimir376@yahoo.fr;v-vladimir8960@univsmb.fr;True;Carcassonne;120001211069518;hal-13175421
Mckenzie;Tad;tad1627@gmail.com;mckenzie_tad5146@univsmb.fr;True;Limoges;219790487085092;hal-96061759
Flynn;Daryl;daryl7389@gmail.com;f_daryl6952@univsmb.fr;True;Compiegne;219990960159753;hal-07192304
Booth;Kevyn;kevyn7165@gmail.com;kevyn.booth@univsmb.fr;False;Vannes;119900856260295;hal-71473095
Stephens;Denton;denton7232@yahoo.com;d_stephens2868@univsmb.fr;True;Thionville;219870557672522;hal-03647216
Gilmore;Jason;jason3450@yahoo.fr;g-jason3642@univsmb.fr;True;Wattrelos;219620759650678;hal-01066967
Conley;Ishmael;ishmael@yahoo.fr;c-ishmael2708@univsmb.fr;False;Chateauroux;119760436044558;hal-34066934
Jenkins;Joy;joy2108@gmail.com;jenkins-joy@univsmb.fr;True;Toulouse;119880131555176;hal-05265905
Dean;Martha;martha@yahoo.com;martha.dean4209@univsmb.fr;False;Nanterre;120060692050670;hal-01268432
Alvarado;Bert;bert@yahoo.com;alvarado_bert@univsmb.fr;False;Evreux;119560427229078;hal-03961003
